# Nom LEVEL PV SPEED DEFENSE SHIELD ATK CRIT_RATE CRIT_DMG DODGE_RATE REWARD
Staff_com 1 50 20 20 0 10 10 20 10 100
Sesame 1 60 20 5 0 20 5 50 10 50
Joueur_de_ping 1 65 25 0 0 20 50 30 0 50
Retryer 2 75 25 5 0 30 10 50 1 55
Front_developpeur 2 100 15 5 0 15 0 0 5 60
Tuteur 3 150 10 5 0 25 10 50 10 75
Evaluateur_en_F6 3 125 1 10 0 25 50 35 0 75
Piscine 4 150 5 20 0 20 50 30 10 100
Staff_pedago 4 125 5 33 0 40 0 0 10 125
minishell 5 200 20 20 0 15 15 30 0 150
42_200h/mois 6 200 10 5 0 40 10 65 10 80
Apotre_de_Moulinette 6 175 50 0 0 20 25 40 20 90
Militant_toilettes 7 150 25 0 0 15 20 80 0 95
Backend_developpeur 8 200 25 20 0 20 33 35 10 125
exam02 9 500 1 0 0 10 0 100 0 150
Fou_du_bus 10 400 10 30 0 5 5 200 5 5
Transcende 11 500 1 40 0 30 20 60 10 250
Anaconda_de_Maxence 100 300 1 50 0 250 1 1000 0 1000
